dish_id,restaurant_id,restaurant_name,dish_name,cuisine,price,spice_level,dietary,rating,city,delivery_time_min,description
1,1,Royal Bites #1,Grilled French Fries,Fast Food,299,medium,non-veg,4.4,Delhi,52,"Grilled French Fries - a medium fast food dish, non-veg, priced at Rs.299. Served at Royal Bites #1 in Delhi, rated 4.4 stars."
2,1,Royal Bites #1,Tangy Curd Rice,South Indian,349,mild,jain,4.4,Delhi,52,"Tangy Curd Rice - a mild south indian dish, jain, priced at Rs.349. Served at Royal Bites #1 in Delhi, rated 4.4 stars."
3,1,Royal Bites #1,Fiery Paneer Tikka,North Indian,199,very spicy,non-veg,4.4,Delhi,52,"Fiery Paneer Tikka - a very spicy north indian dish, non-veg, priced at Rs.199. Served at Royal Bites #1 in Delhi, rated 4.4 stars."
4,1,Royal Bites #1,Loaded French Fries,Fast Food,349,medium,vegan,4.4,Delhi,52,"Loaded French Fries - a medium fast food dish, vegan, priced at Rs.349. Served at Royal Bites #1 in Delhi, rated 4.4 stars."
5,2,The Bites #2,Loaded Pav Bhaji,Street Food,299,very spicy,non-veg,4.0,Delhi,50,"Loaded Pav Bhaji - a very spicy street food dish, non-veg, priced at Rs.299. Served at The Bites #2 in Delhi, rated 4.0 stars."
6,2,The Bites #2,Tangy Rogan Josh,North Indian,199,mild,jain,4.0,Delhi,50,"Tangy Rogan Josh - a mild north indian dish, jain, priced at Rs.199. Served at The Bites #2 in Delhi, rated 4.0 stars."
7,2,The Bites #2,Creamy Kathi Roll,Street Food,399,mild,vegan,4.0,Delhi,50,"Creamy Kathi Roll - a mild street food dish, vegan, priced at Rs.399. Served at The Bites #2 in Delhi, rated 4.0 stars."
8,2,The Bites #2,Loaded Paneer Tikka,North Indian,349,medium,jain,4.0,Delhi,50,"Loaded Paneer Tikka - a medium north indian dish, jain, priced at Rs.349. Served at The Bites #2 in Delhi, rated 4.0 stars."
9,3,Grand Table #3,Fiery Grilled Tofu Bowl,Healthy Food,249,mild,jain,3.8,Pune,52,"Fiery Grilled Tofu Bowl - a mild healthy food dish, jain, priced at Rs.249. Served at Grand Table #3 in Pune, rated 3.8 stars."
10,3,Grand Table #3,Cheesy Oats Bowl,Healthy Food,249,medium,jain,3.8,Pune,52,"Cheesy Oats Bowl - a medium healthy food dish, jain, priced at Rs.249. Served at Grand Table #3 in Pune, rated 3.8 stars."
