restaurant_id,name,city,cuisines,rating,avg_cost_for_two,delivery_time_min
1,Royal Bites #1,Delhi,"South Indian, North Indian, Fast Food",4.4,200,52
2,The Bites #2,Delhi,"North Indian, Street Food",4.0,150,50
3,Grand Table #3,Pune,Healthy Food,3.8,900,52
4,Royal Table #4,Hyderabad,"Street Food, North Indian",3.6,250,28
5,Urban Kitchen #5,Bangalore,"South Indian, Street Food",4.6,400,17
6,Urban Kitchen #6,Pune,"Beverages, Continental, South Indian",3.6,500,51
7,The Kitchen #7,Jamshedpur,Healthy Food,3.4,400,20
8,Urban House #8,Hyderabad,South Indian,4.2,500,25
9,Grand House #9,Jamshedpur,"Biryani, Italian",4.8,200,53
10,Royal Corner #10,Hyderabad,"Chinese, Continental, Italian",3.5,300,35
11,The House #11,Hyderabad,Italian,3.5,300,51
12,Urban Corner #12,Jamshedpur,"Biryani, Italian, Bakery",3.9,400,23
13,Cafe Junction #13,Bangalore,Healthy Food,4.4,700,52
14,Royal Junction #14,Hyderabad,"Biryani, Italian",3.2,150,22
15,Royal Table #15,Hyderabad,Bakery,4.1,700,39
16,Cafe Kitchen #16,Jamshedpur,"Beverages, Continental, Fast Food",4.4,400,36
17,Urban Bites #17,Hyderabad,Fast Food,3.0,400,47
18,The Table #18,Bangalore,Continental,4.6,300,24
19,Cafe Junction #19,Mumbai,"Street Food, Chinese",4.1,900,16
20,Spice Bites #20,Mumbai,Biryani,3.5,200,20
21,Royal Bites #21,Jamshedpur,"Beverages, South Indian, Continental",3.9,250,31
22,Cafe Table #22,Jamshedpur,"Mexican, Desserts, Italian",3.4,400,40
23,Cafe Corner #23,Mumbai,"Bakery, Biryani, Beverages",3.5,200,36
24,Cafe Bites #24,Pune,Mexican,3.4,200,55
25,The Kitchen #25,Chennai,Italian,3.6,300,32
26,Royal Table #26,Pune,"Beverages, Italian, Continental",4.1,300,45
27,The Table #27,Hyderabad,"Italian, South Indian",3.7,700,44
28,Grand Kitchen #28,Mumbai,"North Indian, Bakery, Healthy Food",3.8,500,21
29,Royal Junction #29,Hyderabad,Italian,3.3,250,32
30,Urban Junction #30,Mumbai,"Italian, South Indian",3.1,150,20
31,Urban Corner #31,Hyderabad,Chinese,3.4,700,18
32,The Corner #32,Bangalore,Desserts,4.8,900,33
33,Cafe Table #33,Jamshedpur,"Healthy Food, Street Food",3.9,300,33
34,Cafe Table #34,Pune,North Indian,3.1,500,18
35,Urban Junction #35,Chennai,Mexican,4.0,150,47
36,The Junction #36,Mumbai,Chinese,4.3,300,40
37,Royal Junction #37,Pune,Mexican,3.1,200,41
38,Spice House #38,Delhi,"Mexican, Street Food, Continental",4.3,500,30
39,Grand Table #39,Bangalore,"Desserts, Chinese",3.9,200,15
40,The Kitchen #40,Pune,"Mexican, Street Food",3.4,400,23
41,Spice House #41,Delhi,"South Indian, Italian",3.8,400,54
42,Cafe House #42,Jamshedpur,"Continental, North Indian, Bakery",3.2,250,31
43,Grand Junction #43,Delhi,South Indian,3.5,300,36
44,Grand House #44,Pune,Bakery,3.9,150,20
45,The House #45,Chennai,"Desserts, Fast Food, North Indian",3.2,400,25
46,Cafe Kitchen #46,Mumbai,"Beverages, Continental, Desserts",3.1,250,49
47,Cafe Junction #47,Delhi,Biryani,3.8,150,34
48,Spice Bites #48,Jamshedpur,"Street Food, North Indian",3.5,200,37
49,Royal Bites #49,Chennai,"Desserts, Mexican, Chinese",4.5,700,16
50,Spice Corner #50,Chennai,Healthy Food,4.3,300,32
51,Grand Kitchen #51,Hyderabad,Street Food,4.7,900,29
52,Spice House #52,Chennai,Beverages,4.5,300,29
53,Royal Corner #53,Bangalore,Bakery,3.5,200,32
54,Urban Table #54,Chennai,"Bakery, Continental",4.0,150,22
55,Spice Kitchen #55,Mumbai,"Chinese, Mexican",4.1,500,35
56,The Corner #56,Pune,"Mexican, Continental",3.4,150,42
57,Cafe Table #57,Jamshedpur,Continental,4.8,300,38
58,Spice Junction #58,Bangalore,"South Indian, Bakery",4.3,200,34
59,Spice Corner #59,Jamshedpur,"Fast Food, Bakery, Desserts",3.6,250,27
60,Grand Table #60,Delhi,"Bakery, Desserts",4.2,400,40
61,Royal Corner #61,Chennai,"North Indian, Fast Food, Healthy Food",4.1,500,44
62,Royal Junction #62,Hyderabad,"Beverages, Bakery",4.5,250,20
63,Grand Junction #63,Bangalore,"Continental, Bakery",3.2,300,34
64,Royal Bites #64,Mumbai,Street Food,3.1,900,54
65,Urban Table #65,Pune,Beverages,3.4,700,46
66,Grand Table #66,Mumbai,"Italian, Chinese",4.7,200,42
67,Grand Junction #67,Hyderabad,Chinese,3.1,300,22
68,Grand Junction #68,Pune,"Chinese, Beverages",4.1,900,54
69,Urban Bites #69,Jamshedpur,"Continental, Desserts, Street Food",4.6,900,31
70,Spice Junction #70,Hyderabad,Bakery,4.2,400,43
71,Spice Bites #71,Bangalore,Healthy Food,3.6,200,23
72,Urban Table #72,Delhi,Italian,4.3,200,41
